2024-12-16 02:28:36,796 INFO    MainThread:23460 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-16 02:28:36,797 INFO    MainThread:23460 [wandb_setup.py:_flush():79] Configure stats pid to 23460
2024-12-16 02:28:36,797 INFO    MainThread:23460 [wandb_setup.py:_flush():79] Loading settings from C:\Users\jonas\.config\wandb\settings
2024-12-16 02:28:36,797 INFO    MainThread:23460 [wandb_setup.py:_flush():79] Loading settings from c:\Users\jonas\OneDrive - Danmarks Tekniske Universitet\Master Thesis\Master-Thesis\scripts\wandb\settings
2024-12-16 02:28:36,797 INFO    MainThread:23460 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'mode': 'online'}
2024-12-16 02:28:36,797 INFO    MainThread:23460 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': 'online', '_disable_service': None}
2024-12-16 02:28:36,797 INFO    MainThread:23460 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-12-16 02:28:36,798 INFO    MainThread:23460 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-16 02:28:36,798 INFO    MainThread:23460 [wandb_init.py:_log_setup():533] Logging user logs to c:\Users\jonas\OneDrive - Danmarks Tekniske Universitet\Master Thesis\Master-Thesis\scripts\wandb\run-20241216_022836-kixvnv33\logs\debug.log
2024-12-16 02:28:36,798 INFO    MainThread:23460 [wandb_init.py:_log_setup():534] Logging internal logs to c:\Users\jonas\OneDrive - Danmarks Tekniske Universitet\Master Thesis\Master-Thesis\scripts\wandb\run-20241216_022836-kixvnv33\logs\debug-internal.log
2024-12-16 02:28:36,798 INFO    MainThread:23460 [wandb_init.py:_jupyter_setup():479] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000018B7C5FAF60>
2024-12-16 02:28:36,799 INFO    MainThread:23460 [wandb_init.py:init():619] calling init triggers
2024-12-16 02:28:36,799 INFO    MainThread:23460 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-12-16 02:28:36,799 INFO    MainThread:23460 [wandb_init.py:init():669] starting backend
2024-12-16 02:28:36,799 INFO    MainThread:23460 [wandb_init.py:init():673] sending inform_init request
2024-12-16 02:28:36,803 INFO    MainThread:23460 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-16 02:28:36,804 INFO    MainThread:23460 [wandb_init.py:init():686] backend started and connected
2024-12-16 02:28:36,819 INFO    MainThread:23460 [wandb_run.py:_label_probe_notebook():1339] probe notebook
2024-12-16 02:28:36,820 INFO    MainThread:23460 [wandb_run.py:_label_probe_notebook():1349] Unable to probe notebook: 'charmap' codec can't decode byte 0x81 in position 9112: character maps to <undefined>
2024-12-16 02:28:36,820 INFO    MainThread:23460 [wandb_init.py:init():781] updated telemetry
2024-12-16 02:28:36,868 INFO    MainThread:23460 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-16 02:28:37,303 INFO    MainThread:23460 [wandb_init.py:init():867] starting run threads in backend
2024-12-16 02:28:37,537 INFO    MainThread:23460 [wandb_run.py:_console_start():2456] atexit reg
2024-12-16 02:28:37,538 INFO    MainThread:23460 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-16 02:28:37,538 INFO    MainThread:23460 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-16 02:28:37,538 INFO    MainThread:23460 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-16 02:28:37,541 INFO    MainThread:23460 [wandb_init.py:init():911] run started, returning control to user process
2024-12-16 02:28:37,541 INFO    MainThread:23460 [wandb_watch.py:_watch():71] Watching
2024-12-16 02:28:37,541 INFO    MainThread:23460 [wandb_watch.py:_watch():71] Watching
2024-12-16 02:29:42,321 INFO    MainThread:23460 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-12-16 02:29:42,321 INFO    MainThread:23460 [wandb_init.py:_pause_backend():444] pausing backend
